feature,importance
value__root_mean_square,79
"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",77
"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",77
"value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",77
"value__fft_coefficient__attr_""angle""__coeff_45",77
"value__fft_coefficient__attr_""imag""__coeff_38",76
"value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",76
"value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",76
"value__fft_coefficient__attr_""abs""__coeff_39",75
"value__fft_coefficient__attr_""real""__coeff_39",75
"value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",74
"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",73
"value__fft_coefficient__attr_""abs""__coeff_38",72
"value__fft_coefficient__attr_""angle""__coeff_44",70
"value__fft_coefficient__attr_""real""__coeff_44",70
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",70
value__number_peaks__n_1,70
"value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",69
value__count_above_mean,69
"value__fft_coefficient__attr_""imag""__coeff_37",69
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",68
value__variance,68
"value__fft_coefficient__attr_""real""__coeff_40",67
"value__fft_coefficient__attr_""angle""__coeff_74",66
"value__fft_coefficient__attr_""real""__coeff_43",64
"value__fft_coefficient__attr_""imag""__coeff_40",64
"value__fft_coefficient__attr_""imag""__coeff_39",63
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",62
"value__fft_coefficient__attr_""real""__coeff_42",62
"value__fft_coefficient__attr_""real""__coeff_57",62
"value__fft_coefficient__attr_""angle""__coeff_76",62
"value__fft_coefficient__attr_""abs""__coeff_44",62
"value__fft_coefficient__attr_""imag""__coeff_41",61
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",61
"value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",60
"value__fft_coefficient__attr_""abs""__coeff_98",60
"value__fft_aggregated__aggtype_""variance""",58
"value__fft_coefficient__attr_""abs""__coeff_56",56
